display_name,display_name_tr
Psychedelic rock,Psikedelik rock
Rhythm and blues,Ritim and blues
Soul music,Soul müzik
Reggae,Reggae
Country,Country
Swing music,Swing müzik
Bluegrass,Bluegrass
Funk,Funk
Folk music,Halk müziği
Middle Eastern music,Orta Doğu müziği
Jazz,Caz
Disco,Disko
Classical music,Klasik müzik
Opera,Opera
Electronic music,Elektronik müzik
House music,House müzik
Techno,Tekno
Dubstep,Dubstep
Drum and bass,Drum and bass
Electronica,Elektronika
Electronic dance music,Elektronik dans müziği
Ambient music,Ambiyans müziği
Trance music,Trance
Music of Latin America,Latin Amerika müziği
Salsa music,Salsa
Flamenco,Flamenko
Blues,Blues
Music for children,Çocuk müziği
New-age music,New age müzik
Vocal music,Vokal müzik
A capella,A capella
Music of Africa,Afrika müziği
Afrobeat,Afrobeat
Christian music,Hristiyan müziği
Gospel music,Gospel müzik
Music of Asia,Asya müziği
Carnatic music,Karnatik müzik
Music of Bollywood,Bollywood müziği
Ska,Ska
Traditional music,Geleneksel müzik
Independent music,Bağımsız müzik
Song,Şarkı
Background music,Fon müziği
Theme music,Jenerik müziği
Jingle (music),Cıngıl
Soundtrack music,Film müziği
Lullaby,Ninni
Video game music,Oyun müziği
Christmas music,Noel müziği
Dance music,Dans müziği
Wedding music,Düğün müziği
Happy music,Neşeli müzik
Funny music,Komik müzik
Sad music,Hüzünlü müzik
Tender music,Duygusal müzik
Exciting music,Heyecanlı müzik
Angry music,Öfkeli müzik
Scary music,Korkutucu müzik
Wind,Rüzgar
Rustling leaves,Yaprak hışırtısı
Wind noise (microphone),Rüzgar gürültüsü (mikrofon)
Thunderstorm,Gök gürültülü fırtına
Thunder,Gök gürültüsü
Water,Su
Rain,Yağmur
Raindrop,Yağmur damlası
Rain on surface,Yüzeye düşen yağmur
Stream,Dere
Waterfall,Şelale
Ocean,Okyanus
"Waves, surf",Dalgalar
Steam,Buhar
Gurgling,Lıkırtı
Fire,Ateş
Crackle,Çıtırtı
Vehicle,Araç
"Boat, Water vehicle","Tekne, deniz aracı"
"Sailboat, sailing ship",Yelkenli
"Rowboat, canoe, kayak","Kayık, kano"
"Motorboat, speedboat",Motorbot
Ship,Gemi
Motor vehicle (road),Motorlu kara taşıtı
Car,Otomobil
"Vehicle horn, car horn, honking",Korna
Toot,Korna sesi
Car alarm,Araç alarmı
"Power windows, electric windows",Elektrikli cam
Skidding,Savrulma
Tire squeal,Lastik cıyaklaması
Car passing by,Geçen araç
"Race car, auto racing",Yarış arabası
Truck,Kamyon
Air brake,Hava freni
"Air horn, truck horn",Kamyon kornası
Reversing beeps,Geri vites uyarı sesi
"Ice cream truck, ice cream van",Dondurmacı arabası
Bus,Otobüs
Emergency vehicle,Acil durum aracı
Police car (siren),Polis aracı (siren)
Ambulance (siren),Ambulans (siren)
"Fire engine, fire truck (siren)",İtfaiye aracı (siren)
Motorcycle,Motosiklet
"Traffic noise, roadway noise",Trafik gürültüsü
Rail transport,Raylı ulaşım
Train,Tren
Train whistle,Tren düdüğü
Train horn,Tren kornası
"Railroad car, train wagon",Vagon
Train wheels squealing,Tren tekerleği cıyaklaması
"Subway, metro, underground",Metro
Aircraft,Hava aracı
Aircraft engine,Uçak motoru
Jet engine,Jet motoru
"Propeller, airscrew",Pervane
Helicopter,Helikopter
"Fixed-wing aircraft, airplane",Uçak
Bicycle,Bisiklet
Skateboard,Kaykay
Engine,Motor
Light engine (high frequency),Hafif motor (yüksek frekans)
"Dental drill, dentist's drill",Diş hekimi matkabı
Lawn mower,Çim biçme makinesi
Chainsaw,Motorlu testere
Medium engine (mid frequency),Orta motor (orta frekans)
Heavy engine (low frequency),Ağır motor (düşük frekans)
Engine knocking,Motor vuruntusu
Engine starting,Motor çalıştırma
Idling,Rölanti
"Accelerating, revving, vroom","Hızlanma, gaz verme"
Door,Kapı
Doorbell,Kapı zili
Ding-dong,Ding-dong
Sliding door,Sürgülü kapı
Slam,Kapı çarpma
Knock,Kapı vurma
Tap,Hafif vuruş
Squeak,Gıcırtı
Cupboard open or close,Dolap açılıp kapanması
Drawer open or close,Çekmece açılıp kapanması
"Dishes, pots, and pans",Tabak çanak
"Cutlery, silverware",Çatal bıçak
Chopping (food),Doğrama
Frying (food),Kızartma
Microwave oven,Mikrodalga fırın
Blender,Blender
"Water tap, faucet",Musluk
Sink (filling or washing),Lavabo
Bathtub (filling or washing),Küvet
Hair dryer,Saç kurutma makinesi
Toilet flush,Sifon
Toothbrush,Diş fırçası
Electric toothbrush,Elektrikli diş fırçası
Vacuum cleaner,Elektrikli süpürge
Zipper (clothing),Fermuar
Keys jangling,Anahtar şıngırtısı
Coin (dropping),Madeni para düşmesi
Scissors,Makas
"Electric shaver, electric razor",Elektrikli tıraş makinesi
Shuffling cards,Kart karıştırma
Typing,Klavyede yazma
Typewriter,Daktilo
Computer keyboard,Bilgisayar klavyesi
Writing,Yazı yazma
Alarm,Alarm
Telephone,Telefon
Telephone bell ringing,Telefon zili
Ringtone,Zil sesi
"Telephone dialing, DTMF",Telefon tuşlama
Dial tone,Çevir sesi
Busy signal,Meşgul sinyali
Alarm clock,Çalar saat
Siren,Siren
Civil defense siren,Sivil savunma sireni
Buzzer,Vızıltılı zil
"Smoke detector, smoke alarm",Duman dedektörü
Fire alarm,Yangın alarmı
Foghorn,Sis düdüğü
Whistle,Düdük
Steam whistle,Buhar düdüğü
Mechanisms,Mekanizmalar
"Ratchet, pawl",Cırcır mekanizması
Clock,Saat
Tick,Tik
Tick-tock,Tik tak
Gears,Dişliler
Pulleys,Makaralar
Sewing machine,Dikiş makinesi
Mechanical fan,Vantilatör
Air conditioning,Klima
Cash register,Yazar kasa
Printer,Yazıcı
Camera,Fotoğraf makinesi
Single-lens reflex camera,SLR fotoğraf makinesi
Tools,Aletler
Hammer,Çekiç
Jackhammer,Kırıcı
Sawing,Testereyle kesme
Filing (rasp),Eğeleme
Sanding,Zımparalama
Power tool,Elektrikli el aleti
Drill,Matkap
Explosion,Patlama
"Gunshot, gunfire",Silah sesi
Machine gun,Makineli tüfek
Fusillade,Yaylım ateşi
Artillery fire,Topçu ateşi
Cap gun,Kapsüllü tabanca
Fireworks,Havai fişek
Firecracker,Maytap
"Burst, pop",Patlama sesi
Eruption,Püskürme
Boom,Gümbürtü
Wood,Ahşap
Chop,Balta darbesi
Splinter,Kıymık kırılması
Crack,Çatlama
Glass,Cam
"Chink, clink",Şıngırtı
Shatter,Cam kırılması
Liquid,Sıvı
"Splash, splatter",Su sıçraması
Slosh,Çalkalanma
Squish,Ezilme sesi
Drip,Damlama
Pour,Dökme
"Trickle, dribble",Sızıntı
Gush,Fışkırma
Fill (with liquid),Sıvı doldurma
Spray,Sprey
Pump (liquid),Sıvı pompası
Stir,Karıştırma
Boiling,Kaynama
Sonar,Sonar
Arrow,Ok
"Whoosh, swoosh, swish",Vınlama
"Thump, thud",Gümleme
Thunk,Tok darbe
Electronic tuner,Elektronik akort aleti
Effects unit,Efekt ünitesi
Chorus effect,Koro efekti
Basketball bounce,Basketbol topu sekmesi
Bang,Küt sesi
"Slap, smack",Şaplak
"Whack, thwack",Sert vuruş
"Smash, crash","Çarpma, parçalanma"
Breaking,Kırılma
Bouncing,Sekme
Whip,Kırbaç
Flap,Çırpınma
Scratch,Tırmalama
Scrape,Sürtme
Rub,Ovma
Roll,Yuvarlanma
Crushing,Ezme
"Crumpling, crinkling",Buruşturma
Tearing,Yırtma
"Beep, bleep",Bip sesi
Ping,Ping sesi
Ding,Ding sesi
Clang,Çınlama
Squeal,Cıyaklama
Creak,Gıcırdama
Rustle,Hışırtı
Whir,Vınlama (mekanik)
Clatter,Takırtı
Sizzle,Cızırtı
Clicking,Tıklama
Clickety-clack,Takırtı ritmi
Rumble,Gürleme
Plop,Cup sesi
"Jingle, tinkle",Çıngırtı
Hum,Uğultu
Zing,İnce vınlama
Boing,Zıplama sesi
Crunch,Çıtırdayarak ezilme
Silence,Sessizlik
Sine wave,Sinüs dalgası
Harmonic,Harmonik
Chirp tone,Cıvıltı tonu
Sound effect,Ses efekti
Pulse,Darbe
"Inside, small room","İç mekan, küçük oda"
"Inside, large room or hall","İç mekan, büyük salon"
"Inside, public space","İç mekan, umumi alan"
"Outside, urban or manmade","Dış mekan, kentsel"
"Outside, rural or natural","Dış mekan, kırsal"
Reverberation,Yankılanma
Echo,Yankı
Noise,Gürültü
Environmental noise,Çevresel gürültü
Static,Parazit
Mains hum,Şebeke uğultusu
Distortion,Distorsiyon
Sidetone,Yan ton
Cacophony,Kakofoni
White noise,Beyaz gürültü
Pink noise,Pembe gürültü
Throbbing,Zonklama
Vibration,Titreşim
Television,Televizyon
Radio,Radyo
Field recording,Saha kaydı
